"","Variable","Truth","RC-adjusted","LTRC-adjusted"
"1","PracticeTypeCOMMUNITY",0.192574873083452,0.228223472845418,0.190966758115469
"2","index_date_year",-0.0759630273681165,-0.0934833812248664,-0.0757160300950359
"3","RaceBlack_or_African_American",0.197558666129736,0.217998902717695,0.19799379365032
"4","RaceOther_Race",0.187197650140476,0.194364880926885,0.184147838066957
"5","RaceWhite",0.433785828758094,0.490090671012138,0.432267317836072
"6","age_at_dx",0.006992952692391,0.00737263497764712,0.00592434266952984
"7","RE_TP53",0.0269655781098339,0.0176371371800705,0.0162747475424944
"8","CN_TP53",0.547093257189647,0.373397295993292,0.310018615627635
"9","SV_TP53",0.293850149122568,0.357400889011463,0.289582725748808
"10","SV_KRAS",0.124422300567346,0.155439972973484,0.123930937152578
"11","SV_EGFR",-0.322022408140875,-0.381366523117271,-0.321247630862222
"12","binvar_1",0,-0.00674552721516722,0.0221913848638772
"13","binvar_2",0.199655822012573,0.243869093440725,0.211598312001192
"14","binvar_3",0.0568497914355248,0.0647020084548056,0.0742894653735637
"15","binvar_4",0,0.00656036485094355,0.0152745035542469
"16","binvar_5",0,0.00526088922357608,0.0126833965414859
"17","binvar_6",0,0.00167702520102778,0.0106234942736598
"18","binvar_7",0,0.00345170059739626,0.00856537998119354
"19","binvar_8",0,0.000430948292686483,-0.00702502959798931
"20","binvar_9",0,-0.00247743096496146,0.0134845838547533
"21","binvar_10",0,0.00547777359565693,0.00560317720689969
