"","Variable","Truth","RC-adjusted","LTRC-adjusted"
"1","PracticeTypeCOMMUNITY",0.192574873083465,0.231266748965857,0.194902567458805
"2","index_date_year",-0.0759630273681837,-0.095552565177043,-0.0752983046221815
"3","RaceBlack_or_African_American",0.197558666129757,0.215366555193487,0.197285943936282
"4","RaceOther_Race",0.187197650140515,0.196299597523907,0.188623115935311
"5","RaceWhite",0.433785828758122,0.485356172456302,0.432960901673537
"6","age_at_dx",0.00699295269239166,0.00782445513316772,0.0032114164818182
"7","RE_TP53",0.0269655781098254,0.017862870549624,0.0129667081694359
"8","CN_TP53",0.547093257189657,0.42537000549181,0.373879286741464
"9","SV_TP53",0.293850149122592,0.360389133495224,0.294234072286381
"10","SV_KRAS",0.124422300567348,0.15684710687034,0.123956330579504
"11","SV_EGFR",-0.322022408140877,-0.380048302554733,-0.32298081978456
