"","Variable","Truth","RC-adjusted","LTRC-adjusted"
"1","PracticeTypeCOMMUNITY",0.192574873083465,0.216001214435354,0.184028325867695
"2","index_date_year",-0.0759630273681837,-0.086004923533655,-0.0722161643550733
"3","RaceBlack_or_African_American",0.197558666129757,0.162012380707566,0.157213875854431
"4","RaceOther_Race",0.187197650140515,0.122573193936354,0.135162583842971
"5","RaceWhite",0.433785828758122,0.39188465823191,0.364247968637309
"6","age_at_dx",0.00699295269239166,0.00742368304765853,0.00631581612892479
"7","RE_TP53",0.0269655781098254,0.022464769765296,0.0180698659062589
"8","CN_TP53",0.547093257189657,0.343192487679722,0.291219878082274
"9","SV_TP53",0.293850149122592,0.329361620093834,0.2723455304208
"10","SV_KRAS",0.124422300567348,0.144384729260772,0.11658061424261
"11","SV_EGFR",-0.322022408140877,-0.362643877148543,-0.309981166150806
